Date,Open,High,Low,Close,Adj Close,Volume
2016-01-08,161.337006,163.800003,159.000000,160.830994,157.903717,1212
2016-01-11,159.598007,159.598007,159.598007,159.598007,156.693176,0
2016-01-12,160.207993,174.623001,160.188995,174.444000,171.268951,336
2016-01-13,173.662003,174.884995,170.143005,170.143005,167.046234,54
2016-01-14,168.309998,168.309998,159.850006,163.389008,160.415176,218
2016-01-15,164.867004,164.867004,158.417007,158.417007,155.533661,186
2016-01-18,158.820999,161.300003,154.699997,154.699997,151.884308,122
2016-01-19,158.320007,167.000000,157.998993,167.000000,163.960434,796
2016-01-20,156.449997,162.750000,156.449997,162.750000,159.787796,315
2016-01-21,162.324997,168.050003,162.324997,167.115997,164.074326,249
2016-01-22,169.695999,170.000000,168.748993,168.748993,165.677612,169
2016-01-25,168.697998,172.020996,168.697998,172.020996,168.890045,74
2016-01-26,169.550003,169.550003,169.550003,169.550003,166.464035,0
2016-01-27,172.050003,172.050003,172.050003,172.050003,168.918518,0
2016-01-28,173.800003,173.800003,170.850006,171.000000,167.887634,48
2016-01-29,169.761993,172.899994,169.761993,172.899994,169.753052,25
2016-02-01,175.669006,180.246994,175.453995,180.246994,176.966324,300
2016-02-02,178.585007,178.585007,174.981003,177.750000,174.514771,123
2016-02-03,175.147995,181.001007,175.147995,181.001007,177.706619,310
2016-02-04,182.600006,188.975998,179.722000,188.975998,185.536453,571
2016-02-05,179.000000,179.500000,171.363007,174.492004,171.316086,1542
2016-02-08,176.662003,176.662003,150.500000,153.552002,150.757217,2298
2016-02-09,152.100006,152.100006,142.300003,147.957993,145.265015,610
2016-02-10,147.087997,150.139999,144.604004,150.139999,147.407303,246
2016-02-11,146.675003,146.675003,138.893997,139.000000,136.470078,301
2016-02-12,138.399002,141.899994,138.399002,141.899994,139.317276,150
2016-02-15,138.699005,147.350006,138.699005,147.350006,144.668091,92
2016-02-16,146.490997,149.899994,145.490005,146.373993,143.709854,140
2016-02-17,144.750000,148.500000,144.750000,148.449997,145.748062,300
2016-02-18,149.604004,160.800003,148.042999,160.800003,157.873291,597
2016-02-19,160.097000,164.013000,158.554993,163.977997,160.993439,316
2016-02-22,172.000000,177.000000,164.382996,164.382996,161.391083,990
2016-02-23,163.578003,165.399994,156.535004,162.919998,159.954712,411
2016-02-24,161.703003,163.869003,153.746002,158.500000,155.615143,651
2016-02-25,159.600006,160.500000,154.470001,155.815994,152.979996,376
2016-02-26,155.416000,157.718002,155.416000,157.718002,154.847382,50
2016-02-29,156.384003,156.384003,154.850006,155.731995,152.897507,463
2016-03-01,153.662994,158.559998,153.662994,158.201004,155.321594,250
2016-03-02,160.800003,160.800003,152.449997,153.615997,150.820038,476
2016-03-03,153.048004,153.699997,153.048004,153.699997,150.902527,150
2016-03-04,151.714996,154.300003,151.714996,154.300003,151.491592,25
2016-03-07,152.014008,152.014008,150.149994,150.500000,147.760757,163
2016-03-08,150.000000,152.100006,150.000000,151.550003,148.791656,145
2016-03-09,151.095993,151.541000,149.703003,149.703003,146.978271,58
2016-03-10,151.990005,153.699997,151.990005,153.699997,150.902527,114
2016-03-11,152.434998,154.901001,152.434998,154.901001,152.081650,10
2016-03-14,152.876007,152.876007,152.876007,152.876007,150.093521,0
2016-03-15,155.546005,156.000000,155.546005,156.000000,153.160660,35
2016-03-16,155.832993,156.949997,155.832993,156.649994,153.798798,532
2016-03-17,156.257004,156.507996,151.729996,151.729996,148.968369,65
2016-03-18,152.160995,152.160995,152.000000,152.000000,149.233444,30
2016-03-21,155.477005,156.000000,155.477005,155.509003,152.678604,100
2016-03-22,153.871002,153.891006,153.399994,153.399994,150.607956,22
2016-03-23,152.807999,156.061996,152.807999,156.061996,153.221512,110
2016-03-24,154.522995,154.522995,154.522995,154.522995,151.710526,0
2016-03-29,154.744003,154.744003,154.744003,154.744003,151.927521,0
2016-03-30,153.992004,157.884995,153.992004,157.884995,155.011337,180
2016-03-31,157.733002,160.300003,157.733002,160.300003,157.382385,25
2016-04-01,159.110001,164.050003,159.110001,164.050003,161.064148,25
2016-04-04,165.248993,169.000000,165.248993,167.770004,164.716431,200
2016-04-05,166.779007,166.779007,165.000000,165.850998,162.832352,122
2016-04-06,165.574005,170.800003,165.574005,170.800003,167.691269,118
2016-04-07,169.404999,169.404999,169.404999,169.404999,166.321671,0
2016-04-08,169.227997,169.854996,168.912003,169.854996,166.763458,178
2016-04-11,168.417999,168.608002,167.000000,168.608002,165.539185,152
2016-04-12,166.753006,169.500000,166.300995,169.500000,166.414948,87
2016-04-13,168.740005,171.873001,168.740005,170.350006,167.249481,18
2016-04-14,170.740005,170.949997,170.740005,170.949997,167.838547,50
2016-04-15,168.910995,168.910995,168.199997,168.199997,165.138596,20
2016-04-18,167.388000,170.154999,167.388000,170.154999,167.058029,67
2016-04-19,168.649994,168.649994,168.649994,168.649994,165.580383,0
2016-04-20,171.962997,172.871994,170.820999,170.820999,167.711884,15
2016-04-21,170.903000,170.903000,166.268997,166.746002,163.711060,140
2016-04-22,166.541000,166.541000,160.979996,160.979996,158.050003,195
2016-04-25,160.460007,162.199997,160.460007,161.848999,158.903198,40
2016-04-26,162.649002,162.649002,162.649002,162.649002,159.688629,0
2016-04-27,160.029007,168.899994,160.029007,168.899994,165.825836,24
2016-04-28,168.005005,168.005005,168.005005,168.005005,164.947159,0
2016-04-29,168.750000,168.750000,165.550003,165.550003,162.536835,55
2016-05-02,165.117996,166.319000,165.117996,165.942993,162.922668,56
2016-05-03,165.483002,165.662003,165.483002,165.662003,162.646790,5
2016-05-04,168.541000,170.067001,168.500000,170.067001,166.971619,124
2016-05-05,164.136002,164.136002,162.000000,162.000000,159.051437,86
2016-05-06,164.539001,164.539001,163.429993,163.429993,160.455414,85
2016-05-09,164.115997,164.115997,164.115997,164.115997,161.128937,0
2016-05-10,166.166000,166.166000,165.000000,165.097000,162.092087,170
2016-05-11,165.201004,165.201004,165.201004,165.201004,162.194199,0
2016-05-12,163.608994,165.000000,162.350006,165.000000,161.996857,156
2016-05-13,162.380005,162.380005,162.380005,162.380005,159.424530,0
2016-05-17,163.542999,168.500000,163.542999,168.250000,165.187698,274
2016-05-18,167.362000,168.000000,167.362000,168.000000,164.942245,20
2016-05-19,166.112000,166.112000,166.112000,166.112000,163.088593,0
2016-05-20,164.294998,164.294998,164.294998,164.294998,161.304672,0
2016-05-23,167.516006,169.100006,167.516006,169.100006,166.022232,110
2016-05-24,171.472000,171.472000,170.725998,170.725998,167.618622,100
2016-05-25,172.186996,172.186996,170.843994,170.843994,167.734467,40
2016-05-26,171.035004,172.000000,171.035004,171.653000,168.528748,89
2016-05-27,170.453003,170.453003,170.453003,170.453003,167.350601,0
2016-05-30,170.399994,178.153000,170.399994,178.153000,174.910446,711
2016-05-31,178.850006,180.481995,175.630005,180.481995,177.197037,505
2016-06-01,181.940002,183.279007,178.330002,178.500000,175.251129,219
2016-06-02,178.041000,180.613007,177.000000,180.000000,176.723831,95
2016-06-03,173.897003,173.897003,173.897003,173.897003,171.714508,0
2016-06-06,175.669006,175.669006,168.800003,171.000000,168.853851,548
2016-06-07,170.343002,173.679993,170.343002,173.679993,171.500214,10
2016-06-08,176.996002,176.996002,170.363998,172.287003,170.124695,275
2016-06-09,171.572998,171.572998,167.888000,170.000000,167.866409,185
2016-06-10,169.145996,169.145996,166.074997,166.074997,163.990662,73
2016-06-13,165.080002,187.850006,162.000000,170.500000,168.360138,1034
2016-06-14,173.998993,176.479996,171.811005,171.811005,169.654678,434
2016-06-15,173.031006,175.033997,168.352005,169.862000,167.730148,215
2016-06-16,167.419006,167.679993,164.600006,165.800003,163.719116,453
2016-06-17,165.835007,165.835007,165.835007,165.835007,163.753693,0
2016-06-20,170.106003,172.000000,168.302002,168.302002,166.189728,22
2016-06-21,169.115005,174.085007,169.115005,174.085007,171.900146,23
2016-06-22,171.800003,174.912994,171.800003,174.912994,172.717743,2
2016-06-23,173.834000,176.712006,173.834000,176.712006,174.494171,20
2016-06-24,160.000000,172.268005,157.500000,168.334000,166.221313,790
2016-06-27,167.042999,167.042999,167.042999,167.042999,164.946518,0
2016-06-28,160.001007,165.837997,160.001007,165.837997,163.756638,150
2016-06-29,166.057999,171.050003,166.057999,171.050003,168.903244,15
2016-06-30,170.990005,171.042007,167.878006,171.042007,168.895340,120
2016-07-01,170.929001,172.903000,170.929001,172.903000,170.732971,16
2016-07-04,173.181000,173.181000,173.181000,173.181000,171.007477,0
2016-07-05,171.488007,171.488007,169.250000,169.250000,167.125809,28
2016-07-06,167.856003,167.856003,163.000000,164.171997,162.111542,567
2016-07-07,164.600006,167.100006,164.600006,167.100006,165.002808,42
2016-07-08,165.358002,167.229996,165.358002,167.229996,165.131165,50
2016-07-11,166.649002,166.649002,166.649002,166.649002,164.557465,0
2016-07-12,173.973007,175.600006,172.399994,173.134995,170.962051,525
2016-07-13,171.727005,172.462006,171.727005,172.462006,170.297501,25
2016-07-14,175.574997,175.574997,174.384995,174.384995,172.196365,105
2016-07-15,172.542999,172.542999,169.220001,169.220001,167.096207,50
2016-07-18,170.123001,172.464996,170.123001,172.464996,170.300461,30
2016-07-19,170.498993,172.279999,170.498993,172.279999,170.117783,14
2016-07-20,171.436996,171.436996,171.436996,171.436996,169.285370,0
2016-07-21,173.050995,173.050995,173.050995,173.050995,170.879105,0
2016-07-22,171.298004,171.298004,169.300003,170.770004,168.626755,105
2016-07-25,172.197998,178.475998,172.197998,178.087006,175.851913,430
2016-07-26,177.067993,178.229996,176.854996,176.854996,174.635361,135
2016-07-27,177.229004,177.229004,177.229004,177.229004,175.004684,0
2016-07-28,177.350006,178.899994,177.350006,178.899994,176.654709,15
2016-07-29,177.089005,179.498993,177.089005,178.649994,176.407837,101
2016-08-01,179.259995,179.259995,179.259995,179.259995,177.010178,0
2016-08-02,177.889008,177.889008,174.919998,177.149994,174.926666,809
2016-08-03,176.757996,176.757996,175.449997,175.449997,173.248016,20
2016-08-04,175.285004,175.285004,175.285004,175.285004,173.085068,0
2016-08-05,176.082993,177.207001,176.082993,177.207001,174.982956,110
2016-08-08,177.542007,180.399994,177.542007,180.399994,178.135880,1000
2016-08-09,179.718994,181.772003,179.718994,181.550003,179.271454,1370
2016-08-10,182.587997,190.000000,182.587997,187.600006,185.245529,183
2016-08-11,187.160004,189.500000,187.160004,189.500000,187.121674,423
2016-08-12,189.856995,190.016006,188.000000,189.287994,186.912323,274
2016-08-15,188.901001,195.653000,188.901001,193.300003,190.873993,95
2016-08-16,192.789001,192.789001,188.233002,189.449005,187.071320,134
2016-08-17,188.067001,188.067001,185.886993,186.992996,184.646133,55
2016-08-18,186.028000,186.028000,186.028000,186.028000,183.693253,0
2016-08-19,189.649994,189.649994,189.649994,189.649994,187.269791,0
2016-08-22,188.725998,189.240005,188.449997,189.240005,186.864944,20
2016-08-23,188.766006,188.766006,188.500000,188.500000,186.134216,100
2016-08-24,187.173004,187.173004,186.800003,186.800003,184.455566,48
2016-08-25,185.942993,185.942993,183.748993,185.712997,183.382187,113
2016-08-26,185.000000,185.000000,185.000000,185.000000,182.678146,5
2016-08-29,185.466003,185.466003,182.360001,183.550003,181.246353,213
2016-08-30,185.192993,185.192993,185.192993,185.192993,182.868713,0
2016-08-31,183.423004,183.423004,179.940002,180.492996,178.227707,31
2016-09-01,180.490005,180.490005,180.490005,180.490005,178.224762,0
2016-09-02,181.199997,181.199997,180.699997,180.699997,178.432114,17
2016-09-05,182.468994,182.468994,181.500000,181.500000,179.222076,85
2016-09-06,181.815002,181.815002,181.815002,181.815002,179.533127,0
2016-09-07,182.235001,182.889999,182.235001,182.889999,180.594620,240
2016-09-08,182.813995,182.813995,179.998993,180.453003,178.188217,64
2016-09-09,181.966995,181.966995,181.966995,181.966995,179.683212,0
2016-09-12,177.649994,180.186996,176.875000,179.490005,177.237320,194
2016-09-13,182.440994,189.000000,182.440994,186.550003,184.208694,193
2016-09-14,183.500000,185.000000,183.500000,185.000000,182.678146,192
